name, city, petfinder-link, rating
MUSH Rescue Inc, Alpharetta, https://awos.petfinder.com/shelters/GA542.html, Huskies
Angels Among Us Pet Rescue Inc, Alpharetta, https://awos.petfinder.com/shelters/GA612.html, A
You Lucky Dog Rescue, Alpharetta, https://awos.petfinder.com/shelters/GA745.html, B
Rescue Me Ga, Dunwoody, https://awos.petfinder.com/shelters/GA535.html, A
Planned PEThood of GA, Duluth, https://www.petfinder.com/member/us/ga/duluth/planned-pethood-of-georgia-ga229/, C
Dekalb County Animal Services, Chamblee, https://awos.petfinder.com/shelters/GA423.html, A
Society of Humane Friends, Lawrenceville, https://awos.petfinder.com/shelters/GA336.html, B-
Gwinnett Cty Animal Control and Welfare, Lawrenceville, https://awos.petfinder.com/shelters/GA357.html, B+
Gwinnett Humane Society, Lawrenceville, https://awos.petfinder.com/shelters/GA52.html, B
Atlanta Humane Society, Atlanta, https://atlantahumane.org/adopt/dogs/, B
Humane Society of Forsyth County, Cumming, http://www.forsythpets.org/, A
AdoptaGoldenAtlanta, Atlanta, https://adoptagoldenatlanta.com/, A
